game_pk,at_bat_index,at_bat_number,event_index,pitch_number,play_id,call_description,balls_after_pitch,strikes_after_pitch,outs_after_pitch,abs_overturned,abs_in_progress,review_type,challenge_team_id,batting_team_id,fielding_team_id,challenge_side,abs_player_id,abs_player_name
822836,60,61,4,4.0,3d5d8d18-1868-356a-9453-21273c51fec1,Ball,3,1,0,True,False,MJ,115.0,115,141,batting,691720.0,Kyle Karros
822836,63,64,2,2.0,b7a94a50-0a64-3485-a3dc-c33fc8abac0c,Called Strike,1,1,2,False,False,MJ,115.0,115,141,batting,696100.0,Hunter Goodman
822837,23,24,3,4.0,0de9a4ed-3830-38fe-90e8-b8d41f4ee4b3,Ball,3,1,1,True,False,MJ,133.0,133,141,batting,701762.0,Nick Kurtz
822837,50,51,3,4.0,31ea248e-b22c-365a-8297-6d1d1bdb2ccb,Called Strike,2,2,2,False,False,MJ,133.0,133,141,batting,687231.0,Darell Hernaiz
822838,6,7,3,4.0,b1c82036-d959-3dc6-bfe1-5d4202dffefa,Called Strike,2,2,2,False,False,MJ,141.0,141,133,batting,665489.0,Vladimir Guerrero Jr.
822838,34,35,1,2.0,1e50a0c2-adf2-3bc4-af80-ac704f526b00,Called Strike,0,2,2,False,False,MJ,133.0,133,141,batting,672016.0,Denzel Clarke
822838,58,59,4,3.0,13e14651-4df2-3a70-932c-e2e2d0868520,Ball,1,2,0,True,False,MJ,141.0,141,133,batting,543807.0,George Springer
822838,67,68,4,3.0,87e753ec-cf0a-3540-a423-308e23809cef,Called Strike,1,2,0,True,False,MJ,133.0,141,133,fielding,663687.0,Hogan Harris
822909,58,59,1,2.0,ab56deb1-e22c-3668-9d8c-aae5c5401ecc,Ball,1,1,2,True,False,MJ,133.0,133,140,batting,805779.0,Jacob Wilson
822912,20,21,2,2.0,ba89aa19-8d91-3b4f-8453-43c5bc7712c1,Called Strike,0,2,0,True,False,MJ,140.0,134,140,fielding,643376.0,Danny Jansen
822912,26,27,3,4.0,c449dcd3-3950-3971-a500-4f2912f63047,Called Strike,3,1,2,True,False,MJ,134.0,140,134,fielding,663698.0,Joey Bart
822912,72,73,1,2.0,f858b4be-1407-3177-a209-4c05d31c45e1,Ball,1,1,2,True,False,MJ,134.0,134,140,batting,804606.0,Konnor Griffin
822913,36,37,1,1.0,8497dab2-03e5-3e03-b788-6fc167a60bc7,Called Strike,0,1,2,True,False,MJ,140.0,134,140,fielding,543309.0,Kyle Higashioka
822913,52,53,2,2.0,1cf3041a-93b3-3420-a75b-463bb037a07d,Ball,2,0,0,True,False,MJ,140.0,140,134,batting,694497.0,Evan Carter
822913,57,58,4,3.0,7b439fae-d8ad-3893-91fd-3169bc496d1d,Ball,2,1,0,False,False,MJ,134.0,140,134,fielding,642397.0,Gregory Soto
822913,63,64,9,6.0,5c26ec79-7373-344e-ab5f-d08f47e7771d,Ball,3,2,0,False,False,MJ,140.0,134,140,fielding,543309.0,Kyle Higashioka
822914,3,4,0,1.0,4af666ca-07a6-35a7-9b01-4cde37e98f7a,Called Strike,0,1,1,False,False,MJ,134.0,134,140,batting,542303.0,Marcell Ozuna
822914,8,9,1,2.0,b03f86ec-a12b-3c3a-a5e9-de0612add50b,Ball,2,0,2,True,False,MJ,140.0,140,134,batting,669394.0,Jake Burger
822915,13,14,1,2.0,58e68cc2-20fd-3f37-be66-1081f10c4fd3,Called Strike,0,2,1,True,False,MJ,136.0,140,136,fielding,641598.0,Mitch Garver
822915,29,30,3,4.0,2d41e85c-06cf-35e6-8a36-cb0dc2d21627,Called Strike,2,2,0,True,False,MJ,140.0,136,140,fielding,643376.0,Danny Jansen
822916,7,8,3,4.0,6e6e872e-ca65-3d13-966b-5fe644c8e00d,Ball,2,2,0,False,False,MI,136.0,136,140,batting,,
822916,55,56,3,4.0,c9a943ff-49f8-3fe5-9cc9-c9d46d16e3fb,Foul,1,2,1,True,False,NI,,136,140,unknown,,
822917,21,22,2,3.0,e0bd98fe-8210-396e-b4b8-b4b5a92e944f,Ball,2,1,2,True,False,MJ,140.0,140,113,batting,694671.0,Wyatt Langford
822918,46,47,3,4.0,874aac0a-5a38-3cab-974a-6b38fda5e825,Called Strike,2,2,1,True,False,MJ,140.0,136,140,fielding,643376.0,Danny Jansen
822919,58,59,0,1.0,540bdf8b-0953-3692-a56a-f1eae60faacd,Called Strike,0,1,1,True,False,MJ,113.0,140,113,fielding,663886.0,Tyler Stephenson
822992,1,2,4,4.0,d3e282d6-bf9a-3e16-8d9f-317cf89e1ea9,Ball,2,2,1,False,False,MJ,139.0,142,139,fielding,663743.0,Nick Fortes
822992,48,49,2,3.0,c573359c-4ae8-35e5-a57c-618274110f17,Ball,3,0,2,False,False,MJ,142.0,139,142,fielding,605170.0,Victor Caratini
822993,32,33,2,3.0,e4d4b744-f7c7-32fa-b313-bba73d7c39ce,Called Strike,1,2,0,True,False,MJ,139.0,113,139,fielding,663743.0,Nick Fortes
822993,35,36,1,1.0,0806e558-4433-3626-8571-2cae1a8b1b7e,Called Strike,0,1,0,False,False,MJ,113.0,113,139,batting,664731.0,P.J. Higgins
822993,59,60,3,3.0,6e3ec2f4-e10e-3b89-92a6-953217f6546f,Called Strike,1,2,0,True,False,MJ,139.0,113,139,fielding,663743.0,Nick Fortes
822995,89,90,1,2.0,255daf2e-bf1a-38f1-83d1-b3de19471f28,Ball,1,1,2,False,False,MJ,113.0,139,113,fielding,663886.0,Tyler Stephenson
822996,5,6,0,1.0,7cfa17a3-eb8e-35da-9a13-682427c90e12,Called Strike,0,1,0,True,False,MJ,147.0,139,147,fielding,669224.0,Austin Wells
822996,20,21,0,1.0,4ebf5349-47f2-35ae-95a1-f9a767fcaf29,Called Strike,0,1,2,True,False,MJ,139.0,147,139,fielding,663743.0,Nick Fortes
822996,32,33,4,4.0,364b2724-feb0-3823-829f-ef5e52e7cc87,Ball,2,2,1,False,False,MJ,139.0,147,139,fielding,663743.0,Nick Fortes
822997,28,29,0,1.0,d169a380-15c2-3a38-bd03-02ebeec85ec5,Called Strike,0,1,1,False,False,MJ,147.0,147,139,batting,665862.0,Jazz Chisholm Jr.
822997,35,36,0,1.0,6554e40c-52fb-3456-8502-e0fee81d9fce,Called Strike,0,1,0,False,False,MJ,147.0,147,139,batting,676609.0,José Caballero
822997,36,37,0,1.0,5e6c0b71-765b-3713-ae7b-2a6022c6a094,Ball,1,0,1,False,False,MJ,139.0,147,139,fielding,663743.0,Nick Fortes
822998,25,26,1,2.0,dde3c2a2-c274-3e90-9d10-cf369be38978,Called Strike,1,1,0,True,False,MJ,139.0,147,139,fielding,676439.0,Hunter Feduccia
822998,36,37,4,3.0,5b089957-1470-35d9-afec-ca1d0bc20b3d,Ball,1,2,1,True,False,MJ,139.0,139,147,batting,666018.0,Jonathan Aranda
822998,41,42,0,1.0,a8ea5d83-4608-3900-9c6e-c82c5e67b69d,Ball,1,0,2,False,False,MJ,139.0,147,139,fielding,676439.0,Hunter Feduccia
822998,57,58,0,1.0,6dc6e12c-8fb0-346a-ae26-86c6f817d8c6,Ball,1,0,0,True,False,MJ,147.0,147,139,batting,676609.0,José Caballero
822999,8,9,2,3.0,5f409134-aa17-3087-9622-02fabbf23a21,Ball,1,2,1,True,False,MJ,112.0,112,139,batting,694208.0,Moisés Ballesteros
822999,12,13,1,1.0,31a03746-a569-3816-a9d6-11e97b50ca38,Ball,1,0,2,True,False,MJ,112.0,112,139,batting,663538.0,Nico Hoerner
822999,33,34,1,2.0,881ea7d9-3700-3930-ac1b-c3c94e9fc86a,Called Strike,1,1,0,False,False,MJ,112.0,112,139,batting,691718.0,Pete Crow-Armstrong
822999,35,36,1,2.0,ac567918-d957-3e6c-b701-2ebc514f0730,Ball,2,0,0,True,False,MJ,139.0,139,112,batting,691406.0,Junior Caminero
822999,40,41,0,1.0,7fa5894b-0c15-35a1-a360-0741570af82f,Called Strike,0,1,0,True,False,MJ,139.0,112,139,fielding,663743.0,Nick Fortes
822999,76,77,3,4.0,0eb59000-ae0a-3796-b534-acc26ba9b4b7,Ball,2,2,2,False,False,MJ,139.0,112,139,fielding,663743.0,Nick Fortes
823000,28,29,2,3.0,99f5b1a1-bb70-3281-94d4-c7bbdf4a9cb3,Ball,2,1,1,True,False,MJ,139.0,139,112,batting,810938.0,Ben Williamson
823000,31,32,3,4.0,81e48810-7bc8-355c-acb9-325ce54d9068,Foul,2,2,0,True,False,MI,139.0,112,139,fielding,,
823000,70,71,4,,,"Rays challenged (tag play), call on the field was upheld: Chandler Simpson caught stealing 3rd base, catcher Carson Kelly to third baseman Alex Bregman.",1,2,1,False,False,MA,139.0,139,112,batting,,
823002,51,52,4,3.0,a5e06a1e-088e-3cc5-ae65-5c48a26ed654,Called Strike,1,2,1,True,False,MJ,139.0,112,139,fielding,663743.0,Nick Fortes
823002,58,59,1,2.0,f213bf69-94aa-3c53-b8b4-b6e12386bef5,Called Strike,1,1,0,False,False,MJ,112.0,112,139,batting,608324.0,Alex Bregman
823002,60,61,1,2.0,2836cb7c-35ff-31d7-9b91-2d22ea758466,Ball,1,1,2,True,False,MJ,112.0,112,139,batting,608348.0,Carson Kelly
823069,19,20,0,1.0,67c86a58-5ae9-3d4f-8b91-be2b57f5a012,Called Strike,0,1,0,True,False,MJ,136.0,138,136,fielding,663728.0,Cal Raleigh
823069,24,25,1,2.0,2c275705-4e5b-3d97-9985-c79860e00440,Ball,1,1,1,True,False,MJ,136.0,136,138,batting,670042.0,Luke Raley
823069,57,58,1,1.0,739c8617-d031-387e-a6d5-cf86e6e0f7e0,Called Strike,0,1,0,False,False,MJ,136.0,136,138,batting,647304.0,Josh Naylor
823071,6,7,3,4.0,eb8b96b6-f441-3e3c-9cb7-d1c8d5dd4b51,Swinging Strike,2,2,1,True,False,MI,138.0,138,114,batting,,
823071,30,31,3,3.0,52976eb8-03fd-38db-9720-f34d4bbec888,Called Strike,1,2,2,False,False,MJ,114.0,114,138,batting,682877.0,Juan Brito
823071,73,74,2,3.0,84409405-63cd-3164-a553-e0e9155ef538,Called Strike,1,2,1,False,False,MJ,114.0,114,138,batting,656555.0,Rhys Hoskins
823072,46,47,3,2.0,5421a366-cd3d-3756-8386-49fd42ec7d01,Called Strike,0,2,0,True,False,MJ,138.0,114,138,fielding,671056.0,Iván Herrera
823072,64,65,2,3.0,d9dceb5d-2e95-3cd1-914c-1ba4f58105f1,Ball,3,0,2,True,False,MJ,138.0,138,114,batting,676475.0,Alec Burleson
823073,42,43,0,1.0,87012d5c-bb77-37b2-8ef9-e9ca06c5f7ed,Called Strike,0,1,1,True,False,MJ,114.0,138,114,fielding,595978.0,Austin Hedges
823073,62,63,4,5.0,f70fb429-e8d1-377c-bfc2-121b71dcd11d,Called Strike,3,2,0,True,False,MJ,138.0,114,138,fielding,686780.0,Pedro Pagés
823074,4,5,2,3.0,16d00d28-0d0c-324b-b048-892510f87b3b,Ball,2,1,0,True,False,MJ,138.0,138,111,batting,671056.0,Iván Herrera
823074,7,8,4,4.0,a14a2468-b407-3246-bad7-254400c2e45b,Ball,2,2,2,True,False,MJ,138.0,138,111,batting,602104.0,Ramón Urías
823074,27,28,0,1.0,4c675a9f-3eaa-3694-95d2-a8e94fdf4fc1,Called Strike,0,1,2,True,False,MJ,138.0,111,138,fielding,686780.0,Pedro Pagés
823074,43,44,0,1.0,b6139779-b2e8-3705-a2d8-5133a3170b92,Ball,1,0,1,True,False,MJ,138.0,138,111,batting,691023.0,Jordan Walker
823074,56,57,4,1.0,b2fe803e-2e01-3c89-9c2c-37adda17a615,Called Strike,0,1,0,True,False,MJ,138.0,111,138,fielding,650968.0,Yohel Pozo
823075,7,8,1,2.0,be2ca482-46d9-3d28-94d9-b552e9cdea53,Ball,1,1,2,True,False,MJ,138.0,138,111,batting,676475.0,Alec Burleson
823076,51,52,2,3.0,7836585b-86a9-3f10-ab26-df0d55f25d63,Called Strike,1,2,0,False,False,MJ,138.0,138,111,batting,671056.0,Iván Herrera
823077,13,14,4,4.0,87cabcfa-777f-3eff-9a7c-8091c45a7477,Called Strike,2,2,0,True,False,MJ,121.0,138,121,fielding,620443.0,Luis Torrens
823077,30,31,0,1.0,516c15d1-a060-31bf-af36-e5f29e50f344,Ball,1,0,0,False,False,MJ,121.0,138,121,fielding,620443.0,Luis Torrens
823077,38,39,0,1.0,24c5ba72-4eda-3bdd-9d29-e96f993e8e43,Ball,1,0,2,True,False,MJ,138.0,138,121,batting,671056.0,Iván Herrera
823077,38,39,2,3.0,a883a0e8-f297-3de5-9cd3-1c49264f7428,Ball,3,0,2,True,False,MJ,138.0,138,121,batting,671056.0,Iván Herrera
823078,18,19,0,1.0,c2b9c80f-8caa-369e-9fec-ec0b5b5a613a,Ball,1,0,2,False,False,MJ,121.0,138,121,fielding,682626.0,Francisco Alvarez
823078,26,27,1,2.0,868f5c3e-f511-394b-93ae-e384fef4e50c,Called Strike,0,2,1,True,False,MJ,138.0,121,138,fielding,686780.0,Pedro Pagés
823078,33,34,3,2.0,452603b4-4205-3d94-a82b-f91f6d5a69df,Called Strike,1,1,1,True,False,MJ,121.0,138,121,fielding,642547.0,Freddy Peralta
823078,41,42,5,4.0,5c761593-b5b8-3acc-8f85-1bf2942a0506,Ball,3,1,0,False,False,MJ,121.0,138,121,fielding,682626.0,Francisco Alvarez
823078,66,67,4,4.0,b3dd0a7d-7660-3b16-8587-e8f1c98886be,Called Strike,2,2,1,False,False,MJ,138.0,138,121,batting,695336.0,Thomas Saggese
823079,29,30,3,4.0,23fbea3c-a720-394b-a5b1-8bd3168e95a4,Called Strike,2,2,2,False,False,MJ,139.0,139,138,batting,676439.0,Hunter Feduccia
823081,30,31,0,1.0,b883d3ee-f4e4-3470-9e7e-8c6efd0bddea,Foul,0,1,2,True,False,NH,,139,138,unknown,,
823081,57,58,1,1.0,0fbde82a-5972-333a-a2ee-2d24e31246df,Called Strike,0,1,0,True,False,MJ,139.0,138,139,fielding,663743.0,Nick Fortes
823081,87,88,0,1.0,77c3406f-ebad-3060-9d95-fd0cae7a5173,Ball,1,0,2,True,False,MJ,139.0,139,138,batting,666018.0,Jonathan Aranda
823082,58,59,0,1.0,8f231311-8aaf-3e31-98de-3c2dfa62aee7,Ball,1,0,2,False,False,MJ,139.0,138,139,fielding,663743.0,Nick Fortes
823082,64,65,2,1.0,4542a247-9358-327a-a01e-c68c43d671d4,Ball,1,0,2,False,False,MJ,138.0,139,138,fielding,686780.0,Pedro Pagés
823147,15,16,1,1.0,459ac2bf-5008-300a-9480-7da5c0ac09f0,Called Strike,0,1,0,True,False,MJ,136.0,133,136,fielding,663728.0,Cal Raleigh
823147,21,22,1,2.0,a6ff7ee7-643a-3110-bb58-6639468f6060,Called Strike,1,1,2,True,False,MJ,133.0,136,133,fielding,642851.0,Austin Wynns
823147,34,35,0,1.0,4281437e-edd8-34fb-b84b-535cdd85ef87,Ball,1,0,0,False,False,MJ,136.0,133,136,fielding,663728.0,Cal Raleigh
823147,35,36,4,5.0,35e5d7d0-266e-3fd9-8825-9ae65c1c4871,Foul,3,2,1,True,False,MI,136.0,133,136,fielding,,
823147,43,44,1,1.0,ae21910c-90a7-31f5-b707-1291593dbb6a,Called Strike,0,1,2,True,False,MJ,136.0,133,136,fielding,663728.0,Cal Raleigh
823147,63,64,1,,,"Mariners challenged (tag play), call on the field was overturned: Cal Raleigh steals (2) 3rd base.",0,1,2,True,False,MA,136.0,136,133,batting,,
823147,66,67,3,4.0,fc095846-e0bf-3eb7-ad87-b981b4498952,Called Strike,2,2,2,False,False,MJ,133.0,133,136,batting,671732.0,Lawrence Butler
823148,43,44,4,4.0,b98ad49c-10a8-3aa6-8cd0-29550fd048f7,Called Strike,2,2,1,False,False,MJ,136.0,136,133,batting,647304.0,Josh Naylor
